epoch,step,min,max,mean,std
1,200,-7.263225555419922,1.1468651294708252,-0.46812018752098083,1.1241414546966553
2,400,-5.708619117736816,0.9626952409744263,-0.44118648767471313,0.9974528551101685
3,600,-24.11214256286621,0.0,-1.660705804824829,3.3768324851989746
4,800,-6.661436080932617,14.59580135345459,0.1189078539609909,2.260859251022339
5,1000,-5.0466437339782715,21.347339630126953,0.583634614944458,2.98740816116333
6,1200,-4.245685577392578,13.20668888092041,0.2269105613231659,1.9537551403045654
7,1400,-11.008707046508789,12.63983154296875,-0.193004310131073,2.34779691696167
8,1600,-8.864810943603516,7.725866317749023,-0.293528288602829,1.6600221395492554
9,1800,-6.042911052703857,0.19066904485225677,-0.42373812198638916,0.90274578332901
10,2000,-9.989500999450684,6.643006324768066,-0.4997827410697937,1.7756720781326294
11,2200,-12.32113265991211,11.201020240783691,-0.23446443676948547,2.2129039764404297
12,2400,-7.4915690422058105,5.47976541519165,-0.2947593927383423,1.3524575233459473
13,2600,-5.425127983093262,0.0,-0.3550397455692291,0.7278932929039001
14,2800,-6.858782768249512,3.2577013969421387,-0.4229104220867157,1.2049380540847778
15,3000,-6.612237930297852,8.131017684936523,0.1637391448020935,1.4660435914993286
16,3200,-2.720478057861328,13.472319602966309,0.47342193126678467,1.800515055656433
17,3400,-2.7400012016296387,15.23813247680664,0.6504006385803223,1.924700379371643
18,3600,-1.866361141204834,12.671304702758789,0.4738255739212036,1.5645132064819336
19,3800,-7.4521284103393555,12.566163063049316,0.1068522036075592,1.8733069896697998
20,4000,-6.779292106628418,17.02556610107422,0.2673764228820801,2.25775408744812
21,4200,-5.692534923553467,4.604763984680176,-0.36622706055641174,1.1854784488677979
